District,DISTRICT NAME,ZIPCODE
1,Central,60616
2,Wentworth,60609
3,Grand Crossing,60637
4,South Chicago,60617
5,Calumet,60628
6,Gresham,60620
7,Englewood,60636
8,Chicago Lawn,60629
9,Deering,60633
10,Ogden,60623
11,Harrison,60612
12,Near West,60608
13,Shakespeare,60647
14,Austin,60644
15,Jefferson Park,60630
16,Albany Park,60640
17,Near North,60610
18,Town Hall,60613
19,Lincoln,60625
20,Morgan Park,60643
21,Rogers Park,60626
22,Grand Central,60639
23,Prairie Shores,60653
24,Chrysler Village,60638
25,Rosemoor,60619
31,London Towne,60601
